close_date,exchange_rate_br
03/12/2017 23:58:00,3.2574
04/12/2017 23:58:00,3.2426
05/12/2017 23:58:00,3.2403
06/12/2017 23:58:00,3.2343
07/12/2017 23:58:00,3.2872
08/12/2017 23:58:00,3.2859
09/12/2017 23:58:00,3.2878
10/12/2017 23:58:00,3.2878
11/12/2017 23:58:00,3.3033
12/12/2017 23:58:00,3.3031
13/12/2017 23:58:00,3.3086
14/12/2017 23:58:00,3.3404
15/12/2017 23:58:00,3.2897
17/12/2017 23:58:00,3.292
18/12/2017 23:58:00,3.2905
19/12/2017 23:58:00,3.2885
20/12/2017 23:58:00,3.2965
21/12/2017 23:58:00,3.3068
22/12/2017 23:58:00,3.332
23/12/2017 23:58:00,3.3355
24/12/2017 23:58:00,3.338
25/12/2017 23:58:00,3.3355
26/12/2017 23:58:00,3.3097
27/12/2017 23:58:00,3.3133
28/12/2017 23:58:00,3.3111
29/12/2017 23:58:00,3.3075
30/12/2017 23:58:00,3.311
31/12/2017 23:58:00,3.3076
01/01/2018 23:58:00,3.311
02/01/2018 23:58:00,3.2578
03/01/2018 23:58:00,3.2355
04/01/2018 23:58:00,3.2331
05/01/2018 23:58:00,3.2259
07/01/2018 23:58:00,3.2266
08/01/2018 23:58:00,3.239
09/01/2018 23:58:00,3.2468
10/01/2018 23:58:00,3.2264
11/01/2018 23:58:00,3.2142
12/01/2018 23:58:00,3.1989
13/01/2018 23:58:00,3.2007
14/01/2018 23:58:00,3.2007
15/01/2018 23:58:00,3.2132
16/01/2018 23:58:00,3.2227
17/01/2018 23:58:00,3.2222
18/01/2018 23:58:00,3.2051
19/01/2018 23:58:00,3.1912
20/01/2018 23:58:00,3.1912
21/01/2018 23:58:00,3.1947
22/01/2018 23:58:00,3.2007
23/01/2018 23:58:00,3.2355
24/01/2018 23:58:00,3.1451
25/01/2018 23:58:00,3.1469
26/01/2018 23:58:00,3.1509
28/01/2018 23:58:00,3.151
29/01/2018 23:58:00,3.1536
30/01/2018 23:58:00,3.1795
31/01/2018 23:58:00,3.1847
01/02/2018 23:58:00,3.1637
02/02/2018 23:58:00,3.2169
03/02/2018 23:58:00,3.2169
04/02/2018 23:58:00,3.2154
05/02/2018 23:58:00,3.2611
06/02/2018 23:58:00,3.2334
07/02/2018 23:58:00,3.2699
08/02/2018 23:58:00,3.2846
09/02/2018 23:58:00,3.2928
10/02/2018 23:58:00,3.2928
11/02/2018 23:58:00,3.2908
12/02/2018 23:58:00,3.294
13/02/2018 23:58:00,3.2942
14/02/2018 23:58:00,3.2162
15/02/2018 23:58:00,3.2264
16/02/2018 23:58:00,3.2298
17/02/2018 23:58:00,3.2298
18/02/2018 23:58:00,3.2282
19/02/2018 23:58:00,3.2331
20/02/2018 23:58:00,3.2543
21/02/2018 23:58:00,3.2676
22/02/2018 23:58:00,3.2487
23/02/2018 23:58:00,3.2366
24/02/2018 23:58:00,3.2329
25/02/2018 23:58:00,3.2372
26/02/2018 23:58:00,3.2225
27/02/2018 23:58:00,3.2485
28/02/2018 23:58:00,3.2448
01/03/2018 23:58:00,3.25
02/03/2018 23:58:00,3.2505
03/03/2018 23:58:00,3.2505
04/03/2018 23:58:00,3.2496
05/03/2018 23:58:00,3.241
06/03/2018 23:58:00,3.208
07/03/2018 23:58:00,3.2429
08/03/2018 23:58:00,3.2661
09/03/2018 23:58:00,3.2573
11/03/2018 23:58:00,3.2561
12/03/2018 23:58:00,3.2603
13/03/2018 23:58:00,3.2587
14/03/2018 23:58:00,3.2585
15/03/2018 23:58:00,3.2821
16/03/2018 23:58:00,3.279
18/03/2018 23:58:00,3.2801
19/03/2018 23:58:00,3.2841
20/03/2018 23:58:00,3.3087
21/03/2018 23:58:00,3.2727
